id,lang,path,sr,text
1,en,en/1.wav,16000,THE SKY WAS A DEEP SHADE OF BLUE.
2,en,en/2.wav,16000,SHE FOLDED THE LAUNDRY AND PUT IT AWAY.
3,en,en/3.wav,16000,I FLY TO THE MOON.
4,en,en/4.wav,16000,WALKING ALONG THE RIDGE IN THE MOUTAIN.
5,en,en/5.wav,16000,I WOKE UP EARLY THIS MORNING AND WATCHED THE SUNRISE.
6,en,en/6.wav,16000,THE AIR IS FILLED WITH THE SOUND OF BIRDS CHIRPING.
7,en,en/7.wav,16000,I JUST FINISHED READING A GREAT BOOK THAT I HIGHLY RECOMMEND.
8,en,en/8.wav,16000,THE STORM CLOUDS ARE GATHERING AND THE SKY IS TURNING DARK.
9,en,en/9.wav,16000,I'M FEELING GRATEFUL FOR ALL THE GOOD THINGS IN MY LIFE.
10,en,en/10.wav,16000,TODAY IS A PERFECT DAY FOR A PICNIC IN THE PARK.
11,en,en/11.wav,16000,THE STREETS ARE BUSY WITH PEOPLE GOING ABOUT THEIR DAY.
12,en,en/12.wav,16000,THE MOUNTAIN AIR IS CRISP AND REFRESHING.
13,en,en/13.wav,16000,THE FIRE IS CRACKLING AND WARMING THE ROOM.
14,en,en/14.wav,16000,I'M ENJOYING A QUIET NIGHT IN WITH A GOOD MOVIE.
15,en,en/15.wav,16000,THE WATER IS CLEAR AND INVITING ON THIS HOT SUMMER DAY.
16,en,en/16.wav,16000,I JUST FINISHED A DELICIOUS MEAL AT MY FAVORITE RESTAURANT.
17,en,en/17.wav,16000,THE CITY SKYLINE IS IMPRESSIVE AND MAJESTIC.
18,en,en/18.wav,16000,I LOVE THE SOUND OF THE OCEAN WAVES CRASHING AGAINST THE SHORE.
19,en,en/19.wav,16000,THE NIGHT SKY IS FILLED WITH STARS AND WONDER.
20,en,en/20.wav,16000,I'M FEELING PRODUCTIVE AND ACCOMPLISHED AFTER A BUSY DAY.
21,en,en/21.wav,16000,THE FLOWERS ARE BLOOMING AND FILLING THE AIR WITH THEIR FRAGRANCE.
22,en,en/22.wav,16000,I'M EXCITED TO SEE MY FRIENDS AND FAMILY THIS WEEKEND.
23,en,en/23.wav,16000,THE FRESH SNOW IS GLEAMING IN THE SUNLIGHT.
24,en,en/24.wav,16000,THE AUTUMN COLORS ARE VIBRANT AND BEAUTIFUL.
25,en,en/25.wav,16000,THE RIVER IS GENTLY FLOWING AND CARRYING LEAVES DOWNSTREAM.
26,en,en/26.wav,16000,I'M TAKING A BREAK TO ENJOY A CUP OF TEA AND RELAX.
27,en,en/27.wav,16000,THE SUN IS HIGH IN THE SKY AND THE TEMPERATURE IS WARM.
28,en,en/28.wav,16000,I'M LISTENING TO MY FAVORITE MUSIC AND FEELING HAPPY.
29,en,en/29.wav,16000,THE CAMPFIRE IS CRACKLING AND CASTING A WARM GLOW.
30,en,en/30.wav,16000,THE CITY IS QUIET IN THE EARLY MORNING HOURS.
